ingredient,local_alias,product_name,brand_name,expiry_date,Estimated Total Qty,minQty,unit,price
Plain Yogurt,,Plain Yogurt,Generic,3/22/2023,200,100,Kg
Red Kidney Beans,,Red Kidney Beans,Generic,3/22/2023,200,100,Kg
Tzatziki Sauce,,Tzatziki Sauce,Generic,3/22/2023,200,100,Kg
White Beans,,White Beans,Generic,3/22/2023,200,100,Kg
Beans Black Eyed,,Beans Black Eyed,Generic,3/22/2023,200,100,Kg
Flour Amarnath,,Flour Amarnath,Generic,3/22/2023,200,100,Kg
Millet flour,,Millet flour,Generic,3/22/2023,200,100,Kg
Pasta,,Pasta,Generic,3/22/2023,200,100,Kg
Fruit Cocktail,,Fruit Cocktail,Generic,3/22/2023,200,100,Kg
Margarine,,Margarine,Generic,3/22/2023,200,100,Kg
Noodle,,Noodle,Generic,3/22/2023,200,100,Kg
Peach,,Peach,Generic,3/22/2023,200,100,Kg
Pear Prickley,,Pear Prickley,Generic,3/22/2023,200,100,Kg
Pink Lentils,,Pink Lentils,Generic,3/22/2023,200,100,Kg
Barley,,Barley,Generic,3/22/2023,200,100,Kg
Beans Red Kidney,,Beans Red Kidney,Generic,3/22/2023,200,100,Kg
Cardamom Green,,Cardamom Green,Generic,3/22/2023,200,100,Kg
Chicken Liver,,Chicken Liver,Generic,3/22/2023,200,100,Kg
Chilli Green,,Chilli Green,Generic,3/22/2023,200,100,Kg
Green Gram split skinned,,Green Gram split skinned,Generic,3/22/2023,200,100,Kg
Green Gram Split with skin,,Green Gram Split with skin,Generic,3/22/2023,200,100,Kg
Green Gram Whole,,Green Gram Whole,Generic,3/22/2023,200,100,Kg
Lentil,,Lentil,Generic,3/22/2023,200,100,Kg
Lentils Whole Brown,,Lentils Whole Brown,Generic,3/22/2023,200,100,Kg
Split Black Lentils,,Split Black Lentils,Generic,3/22/2023,200,100,Kg
Split Pea,,Split Pea,Generic,3/22/2023,200,100,Kg
Split Pigeon Peas,,Split Pigeon Peas,Generic,3/22/2023,200,100,Kg
Sugar Confectioners,,Sugar Confectioners,Generic,3/22/2023,200,100,Kg
Sugar Powdered,,Sugar Powdered,Generic,3/22/2023,200,100,Kg
Wheat Whole,,Wheat Whole,Generic,3/22/2023,200,100,Kg
Beans Field,,Beans Field,Generic,3/22/2023,200,100,Kg
